trajectory_id,generation_mode,random_seed,initial_airspeed,initial_altitude,initial_alpha,trim_throttle,trim_elevator,maximum_alpha,minimum_alpha,minimum_airspeed,maximum_airspeed,maximum_abs_gamma,whether_stall_occurred,time_of_first_stall,whether_validity_envelope_was_exceeded,termination_reason,n_steps,duration_actual_s,n_sanity_issues,sanity_issues
traj_00000,gradual_approach_v3,20260823,38.00653321800461,1154.931264468417,0.1094056024951984,0.32103481610374823,0.0341892507797495,0.27944767032872747,0.0818673957963919,21.757050401078608,45.99351727220036,0.42282620113428804,False,,False,completed_normally,2001,20.0,0,
traj_00001,gradual_approach_v3,20260823,42.60863315158107,500.67839724415427,0.08037127217920043,0.32666071642160366,0.025116022556000133,0.08037127217931957,-0.03372853285290778,42.60863315158107,79.92210773556225,0.6219364774797884,False,,False,completed_normally,2001,20.0,0,
traj_00002,gradual_approach_v3,20260823,47.05896622606018,1020.8868666017255,0.05965092848632805,0.3454175828039848,0.018640915151977515,0.05965092848632805,-0.05016053834954981,47.05896622605685,81.76375921048727,0.5747242631661212,False,,False,completed_normally,2001,20.0,0,
traj_00003,gradual_approach_v3,20260823,50.12036630867629,1084.161475423352,0.04839153749694035,0.3643363222775179,0.01512235546779386,0.048391537497068704,-0.050841782759532106,50.12036630867629,85.77284691430073,0.5661988688454379,False,,False,completed_normally,2001,20.0,0,
traj_00004,normal,20260823,40.942013533557464,1459.5450642526703,0.08983315265062239,0.3227878628972472,0.028072860203319498,0.11106667814222651,0.04583320648746742,37.685049214482106,46.92484213836029,0.15215237635909826,False,,False,completed_normally,2001,20.0,0,
traj_00005,gradual_approach_v3,20260823,55.81215793188488,1232.560057128956,0.032070353260326534,0.41022196154251206,0.010021985393852042,0.032070353260326534,-0.0695154503240939,55.812157931880925,76.29355976751293,0.7867767371536125,False,,True,validity_envelope_gamma_exceeded,981,9.8,0,
traj_00006,gradual_approach_v3,20260823,36.96778568456008,1760.0895548406809,0.11737610066215037,0.32219191113102963,0.036680031456921995,0.5181639317972005,0.06956350744392853,19.897362738501513,53.68264048688221,0.46489516034631845,True,7.13,False,completed_normally,2001,20.0,0,
traj_00007,gradual_approach_v3,20260823,43.744046123338535,1566.7159763864008,0.07450522772188417,0.3303471966088258,0.023282883663088803,0.3383207427942658,0.03760074774389682,15.923374237815406,60.68651388330009,0.6674230535615141,True,8.950000000000001,False,completed_normally,2001,20.0,0,
traj_00008,normal,20260823,61.94105262888752,1961.834492192185,0.019207430441817417,0.4728180333981443,0.006002322013067943,0.01920948176824565,-0.02362880059285502,61.93256577049645,73.8424494328799,0.18226856343562747,False,,False,completed_normally,2001,20.0,0,
traj_00009,gradual_approach_v3,20260823,51.06702408713495,1783.397366674367,0.04530283824336437,0.3710527967214622,0.014157136951051365,0.04530283824336437,-0.06581438576525467,51.06702408712764,99.3436776655001,0.7547599481841719,False,,False,completed_normally,2001,20.0,0,
traj_00010,normal,20260823,55.25291096313847,1368.6314555072208,0.03345797303820457,0.4051562689993166,0.01045561657443893,0.08843177468098931,0.03345797303815224,38.874742756193385,55.260423431335774,0.2816631805548443,False,,False,completed_normally,2001,20.0,0,
traj_00011,gradual_approach_v3,20260823,39.86007413968759,1497.9279692815358,0.09658099912869611,0.32134007318053537,0.030181562227717534,0.09658099912870739,-0.04896491405197245,39.86007413968759,78.54506546862861,0.6880786725320055,False,,False,completed_normally,2001,20.0,0,
traj_00012,gradual_approach_v3,20260823,68.9632799094721,1244.91234262577,0.0084315353634296,0.5589478741752714,0.0026348548010717496,0.008431535363591805,-0.07870375690444664,68.9632799094721,89.79469485075174,0.7877028085217063,False,,True,validity_envelope_gamma_exceeded,668,6.67,0,
traj_00013,normal,20260823,36.60753498700336,1387.7348877197483,0.12028474902040392,0.3228360416329012,0.03758898406887623,0.13060180092589455,0.07459837038355782,33.99327186110791,42.21459750101586,0.13952573678661825,False,,False,completed_normally,2001,20.0,0,
traj_00014,gradual_approach_v3,20260823,51.790949327214676,615.3422502719255,0.0430516657916858,0.3764475133581003,0.013453645559901814,0.16933445045459278,0.03546001651636621,22.56120269604893,53.151404232514366,0.5511120943328722,False,,False,completed_normally,2001,20.0,0,
