trajectory_id,generation_mode,random_seed,initial_airspeed,initial_altitude,initial_alpha,trim_throttle,trim_elevator,maximum_alpha,minimum_alpha,minimum_airspeed,maximum_airspeed,maximum_abs_gamma,whether_stall_occurred,time_of_first_stall,whether_validity_envelope_was_exceeded,termination_reason,n_steps,duration_actual_s,n_sanity_issues,sanity_issues
traj_0000,normal,20260817,68.78192774906715,1811.0736227008274,0.008669453031237,0.5565448567760994,0.0027092040722615624,0.008669453031237,-0.033018513860573695,68.78192774906096,102.10131423351632,0.4371642489948522,False,,False,completed_normally,2001,20.0,0,
traj_0001,normal,20260817,60.09848135276853,1486.9395926027835,0.022669830955446106,0.45269034231768496,0.007084322173576908,0.05818283807703739,0.022669830955415735,44.41938237205215,60.09848135276853,0.23916750025745956,False,,False,completed_normally,2001,20.0,0,
traj_0002,stall,20260817,44.47761110909309,1011.0973196788224,0.07094148394118388,0.3331487936448832,0.022169213731619963,0.9931883217908976,-0.2413795250494445,41.62600782317198,53.39710072112198,0.7921232151051892,True,3.73,True,validity_envelope_gamma_exceeded,1127,11.26,0,
traj_0003,boundary,20260817,74.11847633420471,1300.9420861288006,0.0023749303158961932,0.6310018852810406,0.0007421657237175604,0.002580985874142164,0.0021106434155063218,73.82988581908495,74.49241730049555,0.0028078080323023953,False,,False,completed_normally,2001,20.0,0,
traj_0004,stall,20260817,39.33709704997876,677.0389013860776,0.10003022020261379,0.3209647629916184,0.03125944381331681,0.8100002082742612,0.07942625881690124,36.78522429950833,44.073204735152274,0.23993576584013365,True,5.8,False,completed_normally,2001,20.0,0,
traj_0005,normal,20260817,71.07870870735908,1805.6611427600776,0.005788083932050224,0.5876479081998115,0.001808776228765695,0.005788083932050224,-0.030463688673621328,71.07870870735908,87.67214566436515,0.22065376506963397,False,,False,completed_normally,2001,20.0,0,
traj_0006,normal,20260817,65.19454551101617,1143.7764038315283,0.013786785713607214,0.5109237434375699,0.004308370535502254,0.03130273873308517,0.013786785713607214,60.215333279228304,65.1945455110173,0.0764035475676959,False,,False,completed_normally,2001,20.0,0,
traj_0007,normal,20260817,61.87654070082152,1912.5631610215473,0.019323523544268573,0.4720951832718961,0.006038601107583929,0.019916219936990564,0.018975220140728416,61.36284136399594,62.18524830294206,0.004819555542379246,False,,False,completed_normally,2001,20.0,0,
traj_0008,normal,20260817,51.25986996213834,1776.1428923002259,0.04469403324632694,0.3724683215659939,0.013966885389477168,0.04512283810402751,0.04419121576918307,51.0314642342287,51.534491878755304,0.00339073163997586,False,,False,completed_normally,2001,20.0,0,
traj_0009,normal,20260817,33.08577149048512,613.8728272739494,0.15327433423328185,0.33675395606052994,0.04789822944790058,0.20371324574491018,0.13105713292130242,27.785828521147604,37.80452665132314,0.152528430269204,False,,False,completed_normally,2001,20.0,0,
traj_0010,stall,20260817,31.081621997191863,984.725853749238,0.17655598042565598,0.3521304080847833,0.0551737438830175,0.17655598042565598,-0.2513024836255868,31.081621997191455,36.20489294395074,0.7854838079391095,False,,True,validity_envelope_gamma_exceeded,478,4.7700000000000005,0,
traj_0011,normal,20260817,30.22588896800572,1876.44515766011,0.18779760345295946,0.36073765300241883,0.058686751079049825,0.2491432380049467,0.115745825833669,23.223644552557047,35.38533608311508,0.266956246887776,False,,False,completed_normally,2001,20.0,0,
traj_0012,normal,20260817,57.16805841744839,1776.4470838067264,0.028870729481942657,0.4229713217176081,0.00902210296310708,0.03673542625363674,0.008821241534616914,57.16805841744839,60.94854319029761,0.10139202528260402,False,,False,completed_normally,2001,20.0,0,
traj_0013,stall,20260817,67.78051025792149,839.5658610419006,0.010017424019347354,0.5434410898168063,0.003130445006046048,0.9931249150003933,0.0020940544559576724,42.841273310594374,67.78051025792486,0.7891986259180913,True,5.46,True,validity_envelope_gamma_exceeded,944,9.43,0,
traj_0014,boundary,20260817,66.62377488736318,1982.1754133405836,0.011649901026376076,0.5286577902814736,0.0036405940707425234,0.17249679610687363,0.011649901026376076,57.37153227133635,66.62377488736553,0.7866356955955044,False,,True,validity_envelope_gamma_exceeded,433,4.32,0,
traj_0015,boundary,20260817,63.166953996958895,1114.8770049262343,0.017067652791091615,0.48679913194291163,0.0053336414972161295,0.017469044573732388,0.01645632296233129,62.79606755218552,63.737685467519306,0.004736022638200592,False,,False,completed_normally,2001,20.0,0,
traj_0016,stall,20260817,68.64014917159791,708.574928784831,0.008856754813457254,0.5546725905746299,0.002767735879205392,0.986842913215126,0.008856754813339225,21.571798584856175,68.64014917159791,0.7611870677295396,True,4.93,False,completed_normally,2001,20.0,0,
traj_0017,stall,20260817,70.27759909247489,1575.0686879291977,0.0067613914127093305,0.576635098946143,0.002112934816471666,0.34326131979646846,0.006761391412565228,62.41907129092073,70.27759909247489,0.7874770206191894,True,4.89,True,validity_envelope_gamma_exceeded,535,5.34,0,
traj_0018,normal,20260817,47.3586959582544,1865.6125291449466,0.058454251090748977,0.3470702738523232,0.018266953465859055,0.1045603532621644,0.058454251090688886,37.300173949618326,47.3586959582544,0.2127679932171159,False,,False,completed_normally,2001,20.0,0,
traj_0019,normal,20260817,33.357417821865305,723.5947949632405,0.15040031407131768,0.335130822466247,0.04700009814728678,0.1779968234522213,0.09397008435326777,28.532456766952855,40.16734087082087,0.18121301513774368,False,,False,completed_normally,2001,20.0,0,
