regime,n_rows,n_positive,recall,precision,f1
normal,113481,0,,0.0,0.0
gradual_approach_v3,396207,30001,0.8053731542281924,0.9338692845823832,0.8648745391416401
stall,28346,16168,0.6075581395348837,0.9998982084690554,0.7558479532163743
