model,n_features,pr_auc,roc_auc,precision,recall,f1,event_recall,median_lead_time_s,recall_0-0.5s,recall_0.5-1s,recall_1-2s,recall_2-3s,recall_3-4s,recall_4-5s
A_v03_retrained,8,0.9027349897929564,0.977972456265277,0.8894961169364328,0.7802243170714924,0.8312846704625987,0.9736842105263158,4.585,0.9774704329977519,0.6508022844710362,0.6,0.5511288180610889,0.6001842468908337,0.6643511209346384
B_state_derivatives,13,0.9189462005723642,0.9842972161805965,0.9016579137061065,0.8033211770912176,0.8496537001322125,0.9605263157894737,4.719999999999999,0.9797185025901671,0.7138971988033723,0.6425468164794007,0.5890722822993739,0.6202210962690005,0.7142406062519735
D_0.5s,23,0.9179437910784594,0.9837068742109047,0.9023287779863075,0.7829537374710429,0.8384133611691023,0.9605263157894737,4.709999999999999,0.9764441403577363,0.7106336687516998,0.6325093632958801,0.5222917852399924,0.5541225241824044,0.68171771392485
D_1s,23,0.9177406232536935,0.9842155266969038,0.9140637687435716,0.774581985825363,0.838562294369607,0.9473684210526315,4.715,0.9731209070472094,0.6929562143051401,0.6296629213483146,0.4961107949155758,0.542376784891755,0.6741395642563941
D_2s,23,0.9162756100759374,0.9842316555756051,0.9157935476736793,0.7598110048395605,0.8305420448277591,0.9473684210526315,4.684999999999999,0.9722412276414818,0.6812618982866467,0.5892134831460674,0.4587364826408651,0.5350069092584062,0.647931796652984
