airspeed_bin_m_s,n_rows,n_positive,recall,precision
30-40,141774,25911,0.8467832194820732,0.9033307258429741
40-50,130594,10481,0.6163534013929969,0.9967597592964049
50-60,131446,7953,0.5772664403369797,0.9997822299651568
60-75,134220,1824,0.5444078947368421,1.0
