lead_time_s,variable,n_near_crossing,n_safe,separability_auc,near_crossing_mean,near_crossing_std,safe_mean,safe_std
1,alpha,4416,750127,0.800491942784645,0.145415894079779,0.08113028227066252,0.055201372216778295,0.06312933462222249
1,dalpha_dt,4416,749704,0.6875459110845505,0.00406225105144482,0.13358609373130073,-0.0028270225929871557,0.03839522112682091
1,V,4416,750127,0.7834740777977055,36.35972941334294,13.011865927673284,54.12197541602028,18.99732695586487
1,dV_dt,4416,749704,0.7512931356594726,-1.5603422191617717,1.7140642917600852,0.6226014724068242,2.734552914291181
1,gamma,4416,750127,0.7637154610297584,0.1643313828239614,0.1879925542748724,-0.07774015036428059,0.3036965771491105
1,dq_dt,4416,749704,0.7443245564382259,0.08429756710757672,0.4882872882346121,0.0014012749373146069,0.11990447062156047
1,elevator,4416,750127,0.7752183359753013,0.04600060172739225,0.05383333636343287,0.014831462839402886,0.029731501277381358
1,stall_margin,4416,750127,0.800491942784645,0.13502420383946992,0.08113028227066252,0.2252387257024707,0.06312933462222249
2,alpha,3636,750127,0.7923118205302568,0.13976688543166288,0.07789186379742379,0.055201372216778295,0.06312933462222249
2,dalpha_dt,3636,749704,0.5243792170071798,-0.02527643000513793,0.08691333616793898,-0.0028270225929871557,0.03839522112682091
2,V,3636,750127,0.7588392641273654,38.386371570121476,12.474671839098148,54.12197541602028,18.99732695586487
2,dV_dt,3636,749704,0.7583261923778892,-1.742820040460811,1.8756433434332966,0.6226014724068242,2.734552914291181
2,gamma,3636,750127,0.7658992274227924,0.1768117402249716,0.19666361543249444,-0.07774015036428059,0.3036965771491105
2,dq_dt,3636,749704,0.5008670778136044,-0.02135628920707961,0.20070725731749078,0.0014012749373146069,0.11990447062156047
2,elevator,3636,750127,0.7525983882057503,0.04059751070005579,0.02532024921802922,0.014831462839402886,0.029731501277381358
2,stall_margin,3636,750127,0.7923118205302567,0.1406732124875861,0.0778918637974238,0.2252387257024707,0.06312933462222249
3,alpha,3156,750127,0.7969742239828209,0.14607850283642898,0.08115320433841393,0.055201372216778295,0.06312933462222249
3,dalpha_dt,3154,749704,0.5554764692217468,-0.007149990903203563,0.037972619848592536,-0.0028270225929871557,0.03839522112682091
3,V,3156,750127,0.7227048720806133,40.74926669816049,11.812993135680674,54.12197541602028,18.99732695586487
3,dV_dt,3154,749704,0.7374867739811458,-1.5310446173737222,1.7758503171444207,0.6226014724068242,2.734552914291181
3,gamma,3156,750127,0.7396123859232671,0.1368748019123084,0.17245175551132413,-0.07774015036428059,0.3036965771491105
3,dq_dt,3154,749704,0.6910095926863575,-0.06767702625065307,0.1256207598580826,0.0014012749373146069,0.11990447062156047
3,elevator,3156,750127,0.7761113230960571,0.0532544360250243,0.03732339173686241,0.014831462839402886,0.029731501277381358
3,stall_margin,3156,750127,0.7969742239828208,0.13436159508282,0.08115320433841393,0.2252387257024707,0.06312933462222249
4,alpha,2992,750127,0.7973375135927964,0.13662785731729582,0.06933250851036397,0.055201372216778295,0.06312933462222249
4,dalpha_dt,2990,749704,0.74340560700041,0.028191924897340768,0.03459529763904786,-0.0028270225929871557,0.03839522112682091
4,V,2992,750127,0.7037926987678927,41.899831465175644,11.114478721563527,54.12197541602028,18.99732695586487
4,dV_dt,2990,749704,0.7174231133343257,-0.9087051450094156,1.3052714400587644,0.6226014724068242,2.734552914291181
4,gamma,2992,750127,0.7187308425933636,0.07176626943229694,0.12457441913718843,-0.07774015036428059,0.3036965771491105
4,dq_dt,2990,749704,0.5522616723168192,0.02330552380197024,0.06390991182540802,0.0014012749373146069,0.11990447062156047
4,elevator,2992,750127,0.8076729027271523,0.06112951561254125,0.03802830665647474,0.014831462839402886,0.029731501277381358
4,stall_margin,2992,750127,0.7973375135927964,0.1438122406019531,0.06933250851036397,0.2252387257024707,0.06312933462222249
5,alpha,2657,750127,0.7568326313655525,0.1111764919323976,0.05119724461851249,0.055201372216778295,0.06312933462222249
5,dalpha_dt,2653,749704,0.7517296958459059,0.021936727885251774,0.03002836913718093,-0.0028270225929871557,0.03839522112682091
5,V,2657,750127,0.7025557351876924,42.00239537961641,10.31105695702829,54.12197541602028,18.99732695586487
5,dV_dt,2653,749704,0.688144127063829,-0.37287633706169193,1.0019179673305367,0.6226014724068242,2.734552914291181
5,gamma,2657,750127,0.6960527841648797,0.03276705059239206,0.1067206092933818,-0.07774015036428059,0.3036965771491105
5,dq_dt,2653,749704,0.679925564712583,0.06949353881325793,0.08538885144574646,0.0014012749373146069,0.11990447062156047
5,elevator,2657,750127,0.7968927518789105,0.04606602400997121,0.02444490635233425,0.014831462839402886,0.029731501277381358
5,stall_margin,2657,750127,0.7568326313655525,0.16926360598685133,0.05119724461851249,0.2252387257024707,0.06312933462222249
