trajectory_id,regime,cross_sign,termination_reason,corrected_precursor_s,t_8_to_16_s,t_12_to_16_s,classification,max_alpha_deg,gamma_at_cross_deg,max_gamma_pre_cross_deg,split,crossing_time,ml_warned,ml_credited_lead_time_s,ml_row_population_available
traj_00045,gradual_approach_v3,1.0,completed_normally,1.29,1.2700000000000005,0.6500000000000004,gradual_monotonic_low_gamma,16.648966688294728,22.155442988693704,22.155442988693704,test,6.84,True,1.6399999999999997,True
traj_00264,gradual_approach_v3,1.0,completed_normally,,,0.7699999999999996,gradual_monotonic_low_gamma,26.49405333314927,6.251442097325944,6.251442097325944,test,4.9,True,3.9000000000000004,True
traj_00306,gradual_approach_v3,1.0,completed_normally,1.5199999999999996,1.4900000000000002,0.7400000000000002,gradual_monotonic_low_gamma,17.625061518860477,25.498183010680236,25.498183010680236,test,11.58,True,4.9799999999999995,True
traj_00314,gradual_approach_v3,1.0,completed_normally,1.66,1.6300000000000008,0.8800000000000008,gradual_monotonic_low_gamma,17.876330036116297,31.29500962044139,31.29500962044139,test,11.91,False,,True
traj_00413,gradual_approach_v3,1.0,completed_normally,4.44,4.430000000000001,0.4900000000000002,gradual_monotonic_low_gamma,28.007626553170343,23.867618804266655,28.308801211792485,test,11.07,True,4.72,True
traj_00415,gradual_approach_v3,1.0,completed_normally,,,0.5800000000000001,gradual_monotonic_low_gamma,27.70940312031637,12.083013144089414,14.987971177494735,test,7.04,True,5.0,True
traj_00500,gradual_approach_v3,1.0,completed_normally,1.33,1.3100000000000005,0.6099999999999994,gradual_monotonic_low_gamma,19.95964601005752,23.856639169416525,28.79693887664707,test,10.76,True,5.0,True
traj_00545,gradual_approach_v3,1.0,completed_normally,,,4.16,gradual_monotonic_low_gamma,24.586797360497336,7.581379852117074,12.176129500827823,test,11.16,True,5.0,True
traj_00593,gradual_approach_v3,1.0,completed_normally,1.9499999999999993,1.9000000000000004,1.3000000000000007,gradual_monotonic_low_gamma,16.19860438702434,32.97857062478463,32.97857062478463,test,8.34,False,2.790000000000001,True
traj_00729,gradual_approach_v3,1.0,completed_normally,4.34,4.309999999999999,1.4499999999999993,gradual_monotonic_low_gamma,16.0896366112913,15.633809874463916,28.296588601528104,test,,False,,False
traj_00768,gradual_approach_v3,1.0,completed_normally,,,0.8399999999999999,gradual_monotonic_low_gamma,23.19184283426119,4.438740736522533,4.438740736522533,test,4.3500000000000005,True,3.3500000000000005,True
traj_00824,gradual_approach_v3,1.0,completed_normally,4.350000000000001,4.33,0.5599999999999996,gradual_monotonic_low_gamma,21.58636956839152,18.51401470823231,19.29759129354973,test,8.290000000000001,True,4.630000000000001,True
traj_00829,gradual_approach_v3,1.0,completed_normally,,,0.7300000000000004,gradual_monotonic_low_gamma,27.69394895325534,3.528283848292286,3.528283848292286,test,6.12,True,1.4900000000000002,True
traj_00856,gradual_approach_v3,1.0,completed_normally,4.79,4.76,0.91,gradual_monotonic_low_gamma,16.64294130863881,17.131380696535405,17.168244775775783,test,7.95,True,5.0,True
traj_00903,gradual_approach_v3,1.0,completed_normally,,,0.6900000000000004,gradual_monotonic_low_gamma,30.77633852867563,3.5745542491219124,3.5745542491219124,test,5.72,True,1.5699999999999994,True
traj_00954,gradual_approach_v3,1.0,completed_normally,5.55,5.5200000000000005,1.1500000000000004,gradual_monotonic_low_gamma,16.32543979137922,13.969812785668609,16.238641560467414,test,11.17,True,5.0,True
traj_00956,gradual_approach_v3,1.0,completed_normally,4.79,4.7700000000000005,0.6799999999999997,gradual_monotonic_low_gamma,29.147850322025747,14.189106561934368,19.212083786356608,test,10.41,True,4.92,True
traj_01132,gradual_approach_v3,1.0,completed_normally,,,0.8499999999999996,gradual_monotonic_low_gamma,29.80455176646737,4.276255474476089,4.276255474476089,test,5.57,True,1.8900000000000001,True
traj_01151,gradual_approach_v3,1.0,completed_normally,4.389999999999999,4.379999999999999,0.4099999999999992,gradual_monotonic_low_gamma,24.49685802230093,26.1444485058433,30.26704661587972,test,8.19,True,4.6499999999999995,True
traj_01165,gradual_approach_v3,1.0,completed_normally,4.960000000000001,4.9399999999999995,0.7699999999999996,gradual_monotonic_low_gamma,23.30911381395685,15.101298271759491,21.70574440765663,test,9.55,True,5.0,True
traj_01315,gradual_approach_v3,1.0,completed_normally,1.3699999999999992,1.3499999999999996,0.5999999999999996,gradual_monotonic_low_gamma,24.80832370917463,22.0950059781969,24.28601702025735,test,12.11,True,4.68,True
traj_01334,gradual_approach_v3,1.0,completed_normally,,,0.7800000000000002,gradual_monotonic_low_gamma,30.482998646857332,8.771192887327016,8.771192887327016,test,6.98,True,1.9300000000000006,True
traj_01409,gradual_approach_v3,1.0,completed_normally,5.4799999999999995,5.429999999999999,0.9499999999999992,gradual_monotonic_low_gamma,16.124318861286547,12.371666862495513,15.0567893804015,test,10.83,True,5.0,True
traj_01517,gradual_approach_v3,1.0,completed_normally,4.52,4.48,1.5100000000000016,gradual_monotonic_low_gamma,16.377695935760133,14.596143107558689,27.48201327501979,test,,False,,False
traj_01543,gradual_approach_v3,1.0,completed_normally,,,1.19,gradual_monotonic_low_gamma,32.17092704806388,6.700937003577726,6.700937003577726,test,3.94,True,2.3899999999999997,True
traj_01698,gradual_approach_v3,1.0,completed_normally,,,1.0199999999999996,gradual_monotonic_low_gamma,28.923467188217543,11.409718013245898,11.409718013245898,test,6.4,True,2.38,True
traj_01743,gradual_approach_v3,1.0,completed_normally,1.34,1.3100000000000005,0.6700000000000008,gradual_monotonic_low_gamma,21.59398689987917,21.82533524793795,21.82533524793795,test,6.34,True,4.55,True
traj_02024,gradual_approach_v3,1.0,completed_normally,1.8999999999999984,1.8599999999999992,0.9700000000000006,runaway_extreme,16.33436943781425,0.3519334382668347,43.673556475991056,test,12.35,False,,True
traj_02121,gradual_approach_v3,1.0,completed_normally,,,0.6000000000000014,gradual_monotonic_low_gamma,26.26368323686224,15.040449497558882,18.142579645457673,test,9.63,True,5.0,True
traj_02144,gradual_approach_v3,1.0,completed_normally,,,1.3000000000000007,gradual_monotonic_low_gamma,25.938496249229935,9.053003066212929,9.053003066212929,test,6.93,True,2.9499999999999997,True
traj_02160,gradual_approach_v3,1.0,completed_normally,1.2299999999999995,1.21,0.5700000000000003,gradual_monotonic_low_gamma,17.088179734845944,28.93029428702251,34.86289554672264,test,8.1,True,4.84,True
