trajectory_id,cross_sign,t_cross,termination_reason,corrected_precursor_s,t_8_to_16_s,t_12_to_16_s,classification,max_alpha_deg,gamma_at_cross_deg
candD_v3_0009,1.0,7.01,completed_normally,,,0.7400000000000002,gradual_monotonic_low_gamma,26.095595021462294,6.276020734688712
candD_v3_0014,1.0,7.25,completed_normally,,,0.8900000000000006,gradual_monotonic_low_gamma,28.528331672141647,4.7415559636521625
candD_v3_0020,1.0,9.22,completed_normally,1.7200000000000006,1.6899999999999995,0.9900000000000002,gradual_monotonic_low_gamma,16.575628412639052,23.113038666717582
candD_v3_0022,1.0,8.52,completed_normally,5.34,5.3100000000000005,1.04,gradual_monotonic_low_gamma,17.729233053183066,11.599565654822422
candD_v3_0024,1.0,7.21,completed_normally,5.0,4.97,0.6799999999999997,gradual_monotonic_low_gamma,19.57536293364054,14.869012162750577
candD_v3_0032,1.0,8.38,completed_normally,4.610000000000001,4.59,0.6399999999999997,gradual_monotonic_low_gamma,19.259465397835534,15.606547763877176
candD_v3_0033,1.0,4.71,completed_normally,2.7199999999999998,2.66,1.6100000000000003,gradual_monotonic_low_gamma,27.011637813885898,17.317217021646893
candD_v3_0043,1.0,6.640000000000001,completed_normally,,,0.9300000000000006,gradual_monotonic_low_gamma,30.922469344352965,7.7576224271369165
candD_v3_0068,1.0,6.38,completed_normally,,,1.4000000000000004,gradual_monotonic_low_gamma,29.687587769745914,8.810255177125669
candD_v3_0077,1.0,10.92,completed_normally,5.45,5.420000000000001,1.0199999999999996,gradual_monotonic_low_gamma,17.890751932413167,11.694992504556616
candD_v3_0082,1.0,7.33,completed_normally,4.57,4.550000000000001,0.5800000000000001,gradual_monotonic_low_gamma,26.528860823204454,15.180849357831448
candD_v3_0083,1.0,7.390000000000001,completed_normally,5.010000000000001,4.99,0.5999999999999996,gradual_monotonic_low_gamma,22.290707257355365,14.156046515125634
candD_v3_0103,1.0,8.97,completed_normally,1.12,1.089999999999999,0.5899999999999999,gradual_monotonic_low_gamma,16.640156489917498,31.17538489013723
candD_v3_0115,1.0,11.58,completed_normally,,,0.9400000000000013,gradual_monotonic_low_gamma,22.411938208262608,9.30689068202502
candD_v3_0119,1.0,6.41,completed_normally,,,0.8900000000000006,gradual_monotonic_low_gamma,23.38578529575121,11.046119034266004
candD_v3_0138,1.0,7.8500000000000005,completed_normally,1.4200000000000008,1.3900000000000006,0.6299999999999999,gradual_monotonic_low_gamma,21.93857782339953,19.412020369373145
candD_v3_0140,1.0,6.73,completed_normally,,,0.71,gradual_monotonic_low_gamma,29.686091505455504,8.456016978975331
candD_v3_0148,1.0,10.06,completed_normally,4.5,4.49,0.4400000000000013,gradual_monotonic_low_gamma,26.817977027522247,26.388133526505055
candD_v3_0156,1.0,3.91,completed_normally,,,1.13,gradual_monotonic_low_gamma,32.00330898294457,5.819177283414753
candD_v3_0157,1.0,3.21,completed_normally,1.8299999999999998,1.8,0.8600000000000003,gradual_monotonic_low_gamma,26.58384105738802,12.167706510181308
candD_v3_0169,1.0,10.82,completed_normally,1.1600000000000001,1.1400000000000006,0.6500000000000004,gradual_monotonic_low_gamma,16.94478841591166,29.762438374036783
