regime,n_rows,n_positive,recall,precision,f1
near_boundary,40109,1121,0.6592328278322926,0.7563971340839304,0.7044804575786463
normal,118500,0,,0.0,0.0
stall,29442,8734,0.5967483398213876,0.9703965741947496,0.7390287132222616
