airspeed_bin_m_s,n_rows,n_positive,recall,precision
30-40,41842,2729,0.6324661048002932,0.6054016134689583
40-50,46058,4775,0.6048167539267015,0.9578772802653399
50-60,40224,1402,0.6098430813124108,0.8850931677018633
60-75,59927,949,0.5079030558482613,1.0
