lead_time_s,feature,n_pos,n_neg,pos_mean,pos_std,neg_mean,neg_std,cohens_d,auc
5.0,alpha,74,808,0.07167027793746729,0.05343641505426322,0.048753184372794106,0.06126985530020748,0.3774199746975625,0.6112857907412362
5.0,stall_margin,74,808,0.20876981998178165,0.05343641505426322,0.23168691354645485,0.06126985530020748,-0.3774199746975628,0.6112857907412363
5.0,V,74,808,48.87309627646041,12.976415434734514,54.362242720169185,15.59143899825195,-0.3562853362665884,0.600464945143163
5.0,gamma,74,808,0.004699635027635145,0.04015555910220541,-0.023442933102943382,0.16065781833918522,0.1822882413039859,0.5825695745250201
5.0,pitch_rate,74,808,0.0008909424406548085,0.007612965078205902,-0.015113037497737217,0.1355161804433781,0.1232280988043436,0.5090982071180091
5.0,elevator,74,808,0.0225526903067906,0.016977669784226667,0.011612864611130867,0.04164034797667176,0.27211383759445434,0.6120718490767996
5.0,throttle,74,808,0.3959597261728541,0.09537921639663693,0.4250181469427201,0.09733065422306701,-0.2987128096831284,0.5987088573722237
5.0,dalpha_dt,73,808,0.000184836898232897,0.0015522933122175562,-0.005048637459790759,0.05730358082081931,0.09525388565694162,0.5539892174148922
5.0,dV_dt,73,808,-0.048730583483622476,0.3936738142580128,0.15556823134738018,1.4324522371084456,-0.14825103181129962,0.5661535331615353
4.0,alpha,103,808,0.0687262365556513,0.05288208573837831,0.048753184372794106,0.06126985530020748,0.33042609901558084,0.598601364990868
4.0,stall_margin,103,808,0.21171386136359768,0.052882085738378305,0.23168691354645485,0.06126985530020748,-0.3304260990155804,0.598601364990868
4.0,V,103,808,49.43794865890606,12.74711536628352,54.362242720169185,15.59143899825195,-0.3215715865088121,0.5885802172450255
4.0,gamma,103,808,0.003754163657202895,0.03787700833340605,-0.023442933102943382,0.16065781833918522,0.17892200675069206,0.5818273574930308
4.0,pitch_rate,103,808,0.0004043469923199456,0.0040527131024417585,-0.015113037497737217,0.1355161804433781,0.1214447862620302,0.5093002018648467
4.0,elevator,103,808,0.021542057710380036,0.01665628702422161,0.011612864611130867,0.04164034797667176,0.2503752573237708,0.5997428626357781
4.0,throttle,103,808,0.40216305347384756,0.09886851485949476,0.4250181469427201,0.09733065422306701,-0.23413996581664592,0.579195905027396
4.0,dalpha_dt,103,808,0.0001684460164716355,0.001805714001449324,-0.005048637459790759,0.05730358082081931,0.09655945397209632,0.557225079304047
