regime,lead_time_s,variable,n_near_crossing,n_safe,separability_auc,cohens_d,near_mean,safe_mean
near_boundary,5.0,alpha,614,462041,0.8212824077325174,1.151452272843459,0.12314030987857964,0.051144114560331605
near_boundary,5.0,V,614,462041,0.7810135748983513,-0.8668544863603098,38.09060735478037,56.62133037620258
near_boundary,5.0,gamma,614,462041,0.6034486645773154,0.29806530392152397,0.028321509011718243,-0.05476446313830484
near_boundary,5.0,pitch_rate,614,462041,0.5192392908967207,0.10215070192779524,0.005354911655481201,-0.006858645193181371
near_boundary,5.0,elevator,614,462041,0.8432671594699701,0.7507318444049982,0.03941728791631782,0.014741143876827189
near_boundary,5.0,stall_margin,614,462041,0.8212824077325174,-1.1514522728434593,0.1572997880406693,0.22929598335891735
near_boundary,5.0,dV_dt,612,461821,0.5880615608743975,-0.2562781086805869,-0.2762481018027668,0.3673100642431145
near_boundary,5.0,dalpha_dt,612,461821,0.5709601602284494,0.03977685702445834,0.0010936171313726804,-0.0011999365818306151
near_boundary,5.0,dgamma_dt,612,461821,0.5212248399214968,0.09543771813200583,0.004287292269826463,-0.005667518630684745
near_boundary,5.0,dq_dt,612,461821,0.5790369055928115,-0.012906542122272865,-0.0016986415834169238,0.0011071473068113133
near_boundary,4.0,alpha,897,462041,0.7904910840594226,0.9707200685142342,0.1118330068659717,0.051144114560331605
near_boundary,4.0,V,897,462041,0.7565647391704613,-0.8028276561166829,39.46387786100497,56.62133037620258
near_boundary,4.0,gamma,897,462041,0.5986627960888102,0.27373904769758367,0.021518785103243156,-0.05476446313830484
near_boundary,4.0,pitch_rate,897,462041,0.5311015450213524,0.07654323866390032,0.0022902986273880565,-0.006858645193181371
near_boundary,4.0,elevator,897,462041,0.815498010273968,0.6260069454934225,0.03531271658680329,0.014741143876827189
near_boundary,4.0,stall_margin,897,462041,0.7904910840594226,-0.9707200685142338,0.16860709105327729,0.22929598335891735
near_boundary,4.0,dV_dt,894,461821,0.5830708523301447,-0.22785424179028627,-0.20470704716583524,0.3673100642431145
near_boundary,4.0,dalpha_dt,894,461821,0.5759079644671108,0.038691588537612176,0.0010303657262751313,-0.0011999365818306151
near_boundary,4.0,dgamma_dt,894,461821,0.5424346064681684,0.06658599024926443,0.0012756718080821918,-0.005667518630684745
near_boundary,4.0,dq_dt,894,461821,0.5727350530705004,-0.0125018263853581,-0.0016098322006044322,0.0011071473068113133
near_boundary,3.0,alpha,1267,462041,0.7943203709886466,0.9620972948695194,0.11127863917329935,0.051144114560331605
near_boundary,3.0,V,1267,462041,0.7600036082311955,-0.8159983551495003,39.18893093569169,56.62133037620258
near_boundary,3.0,gamma,1267,462041,0.5948991819859324,0.2517998561935983,0.01537718432736573,-0.05476446313830484
near_boundary,3.0,pitch_rate,1267,462041,0.543740479800763,0.059858302667807936,0.0002931082380957283,-0.006858645193181371
near_boundary,3.0,elevator,1267,462041,0.8137319819540543,0.6096517218048666,0.03476801668456129,0.014741143876827189
near_boundary,3.0,stall_margin,1267,462041,0.7943203709886466,-0.9620972948695192,0.16916145874594962,0.22929598335891735
near_boundary,3.0,dV_dt,1263,461821,0.5786415881830378,-0.2036613155155917,-0.14376820999730816,0.3673100642431145
near_boundary,3.0,dalpha_dt,1263,461821,0.5647590745207255,0.03776688945578757,0.0009762050322040962,-0.0011999365818306151
near_boundary,3.0,dgamma_dt,1263,461821,0.5579434164751802,0.04790283279683974,-0.0006744918763112047,-0.005667518630684745
near_boundary,3.0,dq_dt,1263,461821,0.565958632352926,-0.012160520418139188,-0.0015346061832167887,0.0011071473068113133
near_boundary,2.0,alpha,1430,462041,0.8024750142129335,1.0183310291361511,0.11479219016166306,0.051144114560331605
near_boundary,2.0,V,1430,462041,0.7673580401388107,-0.8386333873201879,38.7080762231234,56.62133037620258
near_boundary,2.0,gamma,1430,462041,0.5895682266443735,0.23945977351482822,0.011926545250516016,-0.05476446313830484
near_boundary,2.0,pitch_rate,1430,462041,0.5572232661276707,0.046871611701742436,-0.0012594748982385619,-0.006858645193181371
near_boundary,2.0,elevator,1430,462041,0.8197347939167388,0.6340805169022782,0.03556749757127524,0.014741143876827189
near_boundary,2.0,stall_margin,1430,462041,0.8024750142129335,-1.0183310291361511,0.1656479077575859,0.22929598335891735
near_boundary,2.0,dV_dt,1428,461821,0.5801618318936271,-0.1907419726062107,-0.11125050552220696,0.3673100642431145
near_boundary,2.0,dalpha_dt,1428,461821,0.5698473856663042,0.03956883565932926,0.0010796404643242075,-0.0011999365818306151
near_boundary,2.0,dgamma_dt,1428,461821,0.5643694684063902,0.032003022386461875,-0.0023322934913678132,-0.005667518630684745
near_boundary,2.0,dq_dt,1428,461821,0.5681968574325518,-0.013000224247268757,-0.00171652352188521,0.0011071473068113133
near_boundary,1.0,alpha,1548,462041,0.8212160406114501,1.104071426889793,0.12014522061749867,0.051144114560331605
near_boundary,1.0,V,1548,462041,0.7703003003184382,-0.8502197172340454,38.46256819252354,56.62133037620258
near_boundary,1.0,gamma,1548,462041,0.6251860824324645,0.228710985096549,0.008922476032601654,-0.05476446313830484
near_boundary,1.0,pitch_rate,1548,462041,0.5658447095092353,0.30526194531301004,0.02962824625481174,-0.006858645193181371
near_boundary,1.0,elevator,1548,462041,0.8935103221960341,1.107782795350791,0.05114484759490793,0.014741143876827189
near_boundary,1.0,stall_margin,1548,462041,0.8212160406114501,-1.1040714268897929,0.1602948773017503,0.22929598335891735
near_boundary,1.0,dV_dt,1548,461821,0.6181367051409736,-0.18733106543450614,-0.10261338356248105,0.3673100642431145
near_boundary,1.0,dalpha_dt,1548,461821,0.692470505214424,0.46432207866847114,0.025584300385872748,-0.0011999365818306151
near_boundary,1.0,dgamma_dt,1548,461821,0.5117914321950539,0.08371053356461887,0.00305644502398582,-0.005667518630684745
near_boundary,1.0,dq_dt,1548,461821,0.6269621193770238,0.8940134446151407,0.19609464732751158,0.0011071473068113133
near_boundary,0.5,alpha,933,462041,0.9234421629407094,1.7647990672668674,0.16144099737187778,0.051144114560331605
near_boundary,0.5,V,933,462041,0.7722571740517741,-0.8562460529554897,38.32308685126306,56.62133037620258
near_boundary,0.5,gamma,933,462041,0.7175978961124335,0.2860496049481171,0.024940231593455767,-0.05476446313830484
near_boundary,0.5,pitch_rate,933,462041,0.8782945523180591,2.213764021723019,0.25864769925316833,-0.006858645193181371
near_boundary,0.5,elevator,933,462041,0.9863739339604224,3.4808151783517385,0.12933470971626226,0.014741143876827189
near_boundary,0.5,stall_margin,933,462041,0.9234421629407095,-1.7647990672668676,0.11899910054737116,0.22929598335891735
near_boundary,0.5,dV_dt,933,461821,0.7310239420281972,-0.3736754613977012,-0.5707248315106626,0.3673100642431145
near_boundary,0.5,dalpha_dt,933,461821,0.9472110746415525,2.908791222338929,0.16713738684210122,-0.0011999365818306151
near_boundary,0.5,dgamma_dt,933,461821,0.761376250245739,0.8946535283207486,0.087739478585987,-0.005667518630684745
near_boundary,0.5,dq_dt,933,461821,0.9226581289842553,3.4426009008255263,0.7528441853079628,0.0011071473068113133
stall,5.0,alpha,3104,149961,0.5125824445455475,0.11423504783947198,0.060663887453115926,0.05238041831301356
stall,5.0,V,3104,149961,0.5256991452657416,0.132303381005449,51.19839816192011,49.72008940380476
stall,5.0,gamma,3104,149961,0.5835449379639395,0.22972274368400145,0.007660811840237075,-0.03356760430124901
stall,5.0,pitch_rate,3104,149961,0.5259405740165982,0.22379728575167473,0.0016566386408273382,-0.041894053723065455
stall,5.0,elevator,3104,149961,0.5061365536224985,0.1874789168061707,0.01925707876991555,0.008659949745837503
stall,5.0,stall_margin,3104,149961,0.5125824445455476,-0.11423504783947111,0.21977621046613305,0.22805967960623535
stall,5.0,dV_dt,3083,149872,0.5682859103883686,-0.19182734115199435,-0.07699591045860953,0.23968533065931094
stall,5.0,dalpha_dt,3083,149872,0.5583883131791545,0.20772696297506504,0.00017853547964558284,-0.021837068921507604
stall,5.0,dgamma_dt,3083,149872,0.5049105715848223,0.1403501195606309,0.0014907654169994619,-0.02010106989495698
stall,5.0,dq_dt,3083,149872,0.5432037360387729,-0.014058603629431538,-0.00027542446600937494,0.003939946541549952
stall,4.0,alpha,4352,149961,0.5212543374022344,0.11241178843809428,0.06051638765100889,0.05238041831301356
stall,4.0,V,4352,149961,0.5311650851525319,0.14300928819631425,51.31993211164405,49.72008940380476
stall,4.0,gamma,4352,149961,0.5842697149665775,0.2234532225833928,0.0063898596654663594,-0.03356760430124901
stall,4.0,pitch_rate,4352,149961,0.5259412652559273,0.2210758651768916,0.0009520534119706404,-0.041894053723065455
stall,4.0,elevator,4352,149961,0.5125235678617126,0.1850200946485022,0.019079307905796226,0.008659949745837503
stall,4.0,stall_margin,4352,149961,0.5212543374022344,-0.11241178843809371,0.21992371026824006,0.22805967960623535
stall,4.0,dV_dt,4336,149872,0.5603282674832093,-0.17748650343868466,-0.052231353969867916,0.23968533065931094
stall,4.0,dalpha_dt,4336,149872,0.5607313789993783,0.20847980166694444,0.000168412897432093,-0.021837068921507604
stall,4.0,dgamma_dt,4336,149872,0.5015147196825671,0.13634381988551647,0.0007884736873464162,-0.02010106989495698
stall,4.0,dq_dt,4336,149872,0.546894603905788,-0.014077408365969666,-0.0002638813469080977,0.003939946541549952
stall,3.0,alpha,5548,149961,0.5150894712077194,0.13064607714080642,0.06181870235828998,0.05238041831301356
stall,3.0,V,5548,149961,0.5244445278915992,0.11273169758300397,50.98259223879984,49.72008940380476
stall,3.0,gamma,5548,149961,0.5832658662605317,0.21916633495732596,0.005483759013504016,-0.03356760430124901
stall,3.0,pitch_rate,5548,149961,0.5236489359139168,0.21959322744052287,0.000500018666938866,-0.041894053723065455
stall,3.0,elevator,5548,149961,0.5076714069666766,0.19139773737755872,0.0194002945547159,0.008659949745837503
stall,3.0,stall_margin,5548,149961,0.5150894712077195,-0.13064607714080592,0.21862139556095897,0.22805967960623535
stall,3.0,dV_dt,5531,149872,0.5688362566949676,-0.17547955568378829,-0.047877926272981736,0.23968533065931094
stall,3.0,dalpha_dt,5531,149872,0.5620322917827383,0.20949423504683617,0.000190393392357921,-0.021837068921507604
stall,3.0,dgamma_dt,5531,149872,0.501716303366313,0.1337565373284776,0.00031263453599562663,-0.02010106989495698
stall,3.0,dq_dt,5531,149872,0.5480719862930052,-0.014234099712477325,-0.00029430318152867007,0.003939946541549952
stall,2.0,alpha,7512,149961,0.5009305108359058,0.1777028296352169,0.06519938622739853,0.05238041831301356
stall,2.0,V,7512,149961,0.5102649887408781,0.07709058163855037,50.58741729229504,49.72008940380476
stall,2.0,gamma,7512,149961,0.5846387171065613,0.25038698435719353,0.010909312474891004,-0.03356760430124901
stall,2.0,pitch_rate,7512,149961,0.5117995752555587,0.18014699564239986,-0.0072455098743926865,-0.041894053723065455
stall,2.0,elevator,7512,149961,0.5052717203100424,0.1969090933170711,0.019646844728576574,0.008659949745837503
stall,2.0,stall_margin,7512,149961,0.5009305108359058,-0.17770282963521614,0.21524071169185044,0.22805967960623535
stall,2.0,dV_dt,7492,149872,0.5755683072548656,-0.2073406968454881,-0.09889902437200904,0.23968533065931094
stall,2.0,dalpha_dt,7492,149872,0.5565446003868131,0.12352989200724379,-0.008748309813014046,-0.021837068921507604
stall,2.0,dgamma_dt,7492,149872,0.5068190410185798,0.14173161039723042,0.0014046342856321372,-0.02010106989495698
stall,2.0,dq_dt,7492,149872,0.5439358194486489,0.039833270596950306,0.015773846758931075,0.003939946541549952
stall,1.0,alpha,9125,149961,0.5061974071249393,0.15693241970258406,0.06369114871945186,0.05238041831301356
stall,1.0,V,9125,149961,0.5071953169924637,0.011888594547296471,49.85395334244951,49.72008940380476
stall,1.0,gamma,9125,149961,0.5625301372877496,0.22744838775192783,0.006902012659023833,-0.03356760430124901
stall,1.0,pitch_rate,9125,149961,0.5490244515628858,-0.0029045214470286226,-0.04246789063700342,-0.041894053723065455
stall,1.0,elevator,9125,149961,0.5098003274458666,0.006644825236301841,0.009045955865688167,0.008659949745837503
stall,1.0,stall_margin,9125,149961,0.5061974071249392,-0.15693241970258348,0.2167489491997971,0.22805967960623535
stall,1.0,dV_dt,9125,149872,0.5559922066830362,-0.18960827839142377,-0.07019442120385544,0.23968533065931094
stall,1.0,dalpha_dt,9125,149872,0.5062862369495943,-0.1649596243234359,-0.04027971664443865,-0.021837068921507604
stall,1.0,dgamma_dt,9125,149872,0.5350472256873812,0.11991112381727703,-0.0018397671233825947,-0.02010106989495698
stall,1.0,dq_dt,9125,149872,0.5235633501318386,-0.19878212080717175,-0.06847712449873383,0.003939946541549952
stall,0.5,alpha,5647,149961,0.5297422403905648,-0.1426162555293182,0.04167836134034197,0.05238041831301356
stall,0.5,V,5647,149961,0.5124349531751876,-0.014392647026591257,49.55872470653641,49.72008940380476
stall,0.5,gamma,5647,149961,0.5702613191205878,0.14059016573876346,-0.008296350946200995,-0.03356760430124901
stall,0.5,pitch_rate,5647,149961,0.5928781894130086,-0.16776007260326406,-0.08002671272584967,-0.041894053723065455
stall,0.5,elevator,5647,149961,0.6438166763214406,0.09032457779235846,0.014743462684299909,0.008659949745837503
stall,0.5,stall_margin,5647,149961,0.5297422403905648,0.14261625552931864,0.23876173657890698,0.22805967960623535
stall,0.5,dV_dt,5647,149872,0.5940081513439842,-0.32712099873626405,-0.30584342565715844,0.23968533065931094
stall,0.5,dalpha_dt,5647,149872,0.6214758221685575,-0.1772526800057584,-0.04411029358786311,-0.021837068921507604
stall,0.5,dgamma_dt,5647,149872,0.5503607609512872,-0.1089068627326123,-0.037940274598117864,-0.02010106989495698
stall,0.5,dq_dt,5647,149872,0.6407386761902709,0.928890850760985,0.39891439155747593,0.003939946541549952
normal,5.0,alpha,0,1000500,,,,0.058181214112942116
normal,5.0,V,0,1000500,,,,52.523267168124384
normal,5.0,gamma,0,1000500,,,,-0.0064756370040753575
normal,5.0,pitch_rate,0,1000500,,,,-0.0007075598543975319
normal,5.0,elevator,0,1000500,,,,0.018051142996860517
normal,5.0,stall_margin,0,1000500,,,,0.22225888380630685
normal,5.0,dV_dt,0,1000000,,,,0.0468759673134834
normal,5.0,dalpha_dt,0,1000000,,,,-3.556574202467556e-05
normal,5.0,dgamma_dt,0,1000000,,,,-0.0006726194035475913
normal,5.0,dq_dt,0,1000000,,,,5.4246056830701876e-05
normal,4.0,alpha,0,1000500,,,,0.058181214112942116
normal,4.0,V,0,1000500,,,,52.523267168124384
normal,4.0,gamma,0,1000500,,,,-0.0064756370040753575
normal,4.0,pitch_rate,0,1000500,,,,-0.0007075598543975319
normal,4.0,elevator,0,1000500,,,,0.018051142996860517
normal,4.0,stall_margin,0,1000500,,,,0.22225888380630685
normal,4.0,dV_dt,0,1000000,,,,0.0468759673134834
normal,4.0,dalpha_dt,0,1000000,,,,-3.556574202467556e-05
normal,4.0,dgamma_dt,0,1000000,,,,-0.0006726194035475913
normal,4.0,dq_dt,0,1000000,,,,5.4246056830701876e-05
normal,3.0,alpha,0,1000500,,,,0.058181214112942116
normal,3.0,V,0,1000500,,,,52.523267168124384
normal,3.0,gamma,0,1000500,,,,-0.0064756370040753575
normal,3.0,pitch_rate,0,1000500,,,,-0.0007075598543975319
normal,3.0,elevator,0,1000500,,,,0.018051142996860517
normal,3.0,stall_margin,0,1000500,,,,0.22225888380630685
normal,3.0,dV_dt,0,1000000,,,,0.0468759673134834
normal,3.0,dalpha_dt,0,1000000,,,,-3.556574202467556e-05
normal,3.0,dgamma_dt,0,1000000,,,,-0.0006726194035475913
normal,3.0,dq_dt,0,1000000,,,,5.4246056830701876e-05
normal,2.0,alpha,0,1000500,,,,0.058181214112942116
normal,2.0,V,0,1000500,,,,52.523267168124384
normal,2.0,gamma,0,1000500,,,,-0.0064756370040753575
normal,2.0,pitch_rate,0,1000500,,,,-0.0007075598543975319
normal,2.0,elevator,0,1000500,,,,0.018051142996860517
normal,2.0,stall_margin,0,1000500,,,,0.22225888380630685
normal,2.0,dV_dt,0,1000000,,,,0.0468759673134834
normal,2.0,dalpha_dt,0,1000000,,,,-3.556574202467556e-05
normal,2.0,dgamma_dt,0,1000000,,,,-0.0006726194035475913
normal,2.0,dq_dt,0,1000000,,,,5.4246056830701876e-05
normal,1.0,alpha,0,1000500,,,,0.058181214112942116
normal,1.0,V,0,1000500,,,,52.523267168124384
normal,1.0,gamma,0,1000500,,,,-0.0064756370040753575
normal,1.0,pitch_rate,0,1000500,,,,-0.0007075598543975319
normal,1.0,elevator,0,1000500,,,,0.018051142996860517
normal,1.0,stall_margin,0,1000500,,,,0.22225888380630685
normal,1.0,dV_dt,0,1000000,,,,0.0468759673134834
normal,1.0,dalpha_dt,0,1000000,,,,-3.556574202467556e-05
normal,1.0,dgamma_dt,0,1000000,,,,-0.0006726194035475913
normal,1.0,dq_dt,0,1000000,,,,5.4246056830701876e-05
normal,0.5,alpha,0,1000500,,,,0.058181214112942116
normal,0.5,V,0,1000500,,,,52.523267168124384
normal,0.5,gamma,0,1000500,,,,-0.0064756370040753575
normal,0.5,pitch_rate,0,1000500,,,,-0.0007075598543975319
normal,0.5,elevator,0,1000500,,,,0.018051142996860517
normal,0.5,stall_margin,0,1000500,,,,0.22225888380630685
normal,0.5,dV_dt,0,1000000,,,,0.0468759673134834
normal,0.5,dalpha_dt,0,1000000,,,,-3.556574202467556e-05
normal,0.5,dgamma_dt,0,1000000,,,,-0.0006726194035475913
normal,0.5,dq_dt,0,1000000,,,,5.4246056830701876e-05
