regime,offset_before_crossing_s,alpha_count,alpha_mean,alpha_median,alpha_std,V_count,V_mean,V_median,V_std,gamma_count,gamma_mean,gamma_median,gamma_std,pitch_rate_count,pitch_rate_mean,pitch_rate_median,pitch_rate_std,elevator_count,elevator_mean,elevator_median,elevator_std,stall_margin_count,stall_margin_mean,stall_margin_median,stall_margin_std
near_boundary,5.0,12,0.12467889055506091,0.12979140523896954,0.051142460386100076,12,37.86324690595658,35.70952165674539,7.515323363418352,12,0.02898240662360231,-9.463375043928144e-14,0.10039800159572923,12,0.00549467837705872,-8.646422214899696e-14,0.019034124240835268,12,0.03992288701914105,0.0405598141371689,0.01682201112675291,12,0.1557612073641881,0.15064869268027947,0.051142460386100076
near_boundary,4.0,18,0.11078919794993447,0.12248236697220832,0.051372156162011844,18,39.64307739272413,36.34164155141687,7.681051431879354,18,0.02146065283448353,-2.9470373354184544e-14,0.09104983888810887,18,0.0022958542286346507,-1.7875301469597265e-14,0.009740484562227135,18,0.03498793135596679,0.03827573967882279,0.0165358197426807,18,0.16965089996931454,0.1579577309470407,0.051372156162011844
near_boundary,3.0,26,0.11059545467543043,0.10890603012252534,0.047635332681501795,26,39.30930415233326,38.0770460955716,7.05172875657948,26,0.015008357599755467,-5.492949166812003e-15,0.0765279082685791,26,0.00029749735996375767,-3.385537994926467e-15,0.0015169448438236944,26,0.03455701433021198,0.034033134413286925,0.014879267192530935,26,0.16984464324381857,0.17153406779672367,0.047635332681501795
near_boundary,2.0,28,0.11406381167309597,0.11650211366630006,0.04894582562384063,28,38.80863078682611,37.09615653256596,7.170699504636021,28,0.012450967515486671,-3.060494172576987e-14,0.06589131160077717,28,-0.0013086696131503226,-2.3743444449348592e-14,0.0069200566503918376,28,0.035327716946625995,0.036406910520709525,0.014697227307737053,28,0.16637628624615305,0.16393798425294895,0.04894582562384064
near_boundary,1.0,31,0.11864246998243275,0.12207755608485253,0.04895510019152853,31,38.467068187906165,36.39015795163568,7.227075637282746,31,0.008434902480920898,4.602294012399788e-13,0.045160772376149884,31,0.01984515291168278,1.0329842644903066e-13,0.051636705462679046,31,0.0482284475001476,0.042631308302175555,0.015711044421567146,31,0.16179762793681626,0.15836254183439646,0.04895510019152853
near_boundary,0.5,31,0.15962529517453472,0.15300846402887885,0.0316447269794878,31,38.352834576300545,36.388523926406,7.203057934017021,31,0.023609686685943574,0.003304721700306897,0.03938355582652702,31,0.25509154492180164,0.17118974602325462,0.22185174610556824,31,0.12925535105345756,0.12646005056745432,0.04473050564120265,31,0.12081480274471429,0.12743163389037016,0.03164472697948781
near_boundary,0.0,31,0.2817532244744391,0.28157713610294666,0.0009900806031717256,31,37.64128202988421,36.037804634764484,6.706506907902942,31,0.11843281779824212,0.07598583346658425,0.09049878794505571,31,0.5417183578317288,0.5548098926285407,0.15319708749560498,31,0.1887221136858953,0.19435085767255106,0.0363256631017799,31,-0.0013131265551901102,-0.0011370381836976473,0.0009900806031717213
stall,5.0,62,0.026051644669943936,0.014006507945863335,0.07399891666675791,62,51.00403486429986,48.47073413535789,12.869614975948833,62,-2.5624900366219444e-07,-6.747308991312474e-16,5.757497249002972e-06,62,5.180339818249594e-07,5.4774827129696325e-15,2.9164850781650162e-06,62,0.008141437232106823,0.004377033733095571,0.023124626250243998,62,0.2543884532493051,0.2664335899733857,0.07399891666675791
stall,4.0,85,0.017681179701464815,0.013120019149359735,0.07576328518290928,85,51.51215669174459,49.828659873702804,12.74324126643124,85,4.554184366995836e-06,-4.944724602435805e-15,0.00011528173402277993,85,1.317566538347943e-05,4.753908752457726e-16,9.514844705823821e-05,85,0.005528517584263308,0.004100005882264226,0.023677532383538397,85,0.2627589182177842,0.2673200787698893,0.07576328518290928
stall,3.0,110,0.022731348743686843,0.018655535193353667,0.07534726138937348,110,51.22591805796286,49.56864544376522,12.62210158061083,110,2.61453822569449e-05,-8.613454846082403e-15,0.0003495490592380425,110,2.3578442584989847e-05,-2.3666326140492566e-17,0.00023573958697914598,110,0.007108694371259295,0.005829848630058635,0.02355317360493599,110,0.25770874917556214,0.26178456272589534,0.07534726138937346
stall,2.0,147,0.01966994555931017,0.016420800293204498,0.07935379494383528,147,50.71858293333746,48.93084313314365,13.018281203249035,147,5.748647511609434e-05,-2.0465885714465187e-14,0.0007401387643705009,147,3.2867066967113416e-05,0.0,0.00045327015712519683,147,0.0061536162802013844,0.005131500091650771,0.024813288273917995,147,0.26077015235993883,0.26401929762604454,0.07935379494383529
stall,1.0,161,0.026950154714589034,0.024932363856459965,0.0753332301112986,161,51.127925041353876,49.063010013656175,13.104250434344637,161,0.00025244089024395623,-1.3528403359773291e-13,0.008599123026436582,161,0.06436711775939173,1.1560171813898274e-13,0.1520843414794838,161,0.0366976577085546,0.020872239916869532,0.054746639260869895,161,0.25348994320466,0.25550773406278904,0.0753332301112986
stall,0.5,161,0.10696020030348337,0.09610825667812178,0.058838329383658294,161,51.070560665800826,49.103554616387804,12.95706775625098,161,-0.006889886059905316,0.0001926900177767997,0.08691653901550381,161,0.5202350507028263,0.6018734468514717,0.37553158602438047,161,0.1836461690684074,0.21475736545181315,0.0796848021960797,161,0.17347989761576565,0.18433184124112723,0.05883832938365829
stall,0.0,161,0.2821757665643008,0.28174817852134654,0.0014475525245372179,161,50.39008851025157,49.05518363622706,12.201980145833437,161,-0.00401204168642725,0.07185740309665276,0.32762026480043227,161,0.9575802723513646,0.9653459792306616,0.1522150528514767,161,0.27362463759570715,0.2756079785103285,0.03229805663728791,161,-0.0017356686450518126,-0.0013080806020975277,0.001447552524537223
