trajectory_id,regime,offset_before_crossing_s,t_cross,actual_t,crossing_sign,termination_reason,alpha,V,gamma,pitch_rate,elevator,stall_margin
traj_0002,stall,3.0,3.73,0.73,1.0,validity_envelope_gamma_exceeded,0.07094148394103335,44.47761110909252,2.351665497155125e-13,2.209132844949868e-13,0.022169213731619963,0.20949861397821568
traj_0002,stall,2.0,3.73,1.73,1.0,validity_envelope_gamma_exceeded,0.0709414839410439,44.47761110908988,4.643839298373478e-13,2.370200994688459e-13,0.022169213731619963,0.20949861397820513
traj_0002,stall,1.0,3.73,2.73,1.0,validity_envelope_gamma_exceeded,0.07093487546564206,44.48103747980447,6.728164786234274e-06,2.4623846741053235e-06,0.022169213731619963,0.20950522245360695
traj_0002,stall,0.5,3.73,3.23,1.0,validity_envelope_gamma_exceeded,0.0723070438381672,44.55472372660936,0.0002877877923542904,0.050873749363985046,0.07744757493428593,0.2081330540810818
traj_0002,stall,0.0,3.73,3.73,1.0,validity_envelope_gamma_exceeded,0.28264515235904875,44.259316778368074,0.08827465563268791,0.9817747359800479,0.2814787542036564,-0.0022050544397997363
traj_0004,stall,1.0,1.94,0.9400000000000001,1.0,validity_envelope_gamma_exceeded,0.01212458719388395,66.29826598338902,-2.026083139379099e-14,-1.6863178961009485e-14,0.0037889334980854843,0.2683155107253651
traj_0004,stall,0.5,1.94,1.44,1.0,validity_envelope_gamma_exceeded,0.04670530471518489,66.28165022789207,0.0068246165155336595,0.4885451716118684,0.24580892592359826,0.23373479320406412
traj_0004,stall,0.0,1.94,1.94,1.0,validity_envelope_gamma_exceeded,0.28273920136607666,64.60440700679375,0.2550898948086592,1.103738642814508,0.2877326067474379,-0.002299103446827655
traj_0013,stall,5.0,5.94,0.9400000000000001,1.0,completed_normally,0.11751162348114533,36.95369145779424,2.279599641294739e-05,1.2829141611014644e-05,0.03672913884929487,0.16292847443810368
traj_0013,stall,4.0,5.94,1.94,1.0,completed_normally,0.11701600871670657,37.069185627339536,0.0007464739569499096,0.0006238099284036806,0.03672913884929487,0.16342408920254242
traj_0013,stall,3.0,5.94,2.94,1.0,completed_normally,0.1163260647666689,37.230519537799864,0.0026439148267670973,0.001780000084278411,0.03672913884929487,0.1641140331525801
traj_0013,stall,2.0,5.94,3.94,1.0,completed_normally,0.11612436612328444,37.277140242188224,0.0050233652430640915,0.0023667370734541844,0.03672913884929487,0.16431573179596456
