trajectory_id,time,V,alpha,theta,gamma,altitude,pitch_rate,vertical_speed,thrust,elevator,throttle,dV_dt,dalpha_dt,stall_margin,is_unsafe,future_stall_5s,future_stall_5s_available,time_r
traj_0000,3.74,68.78192774906192,0.00866945303119218,0.008669453031507438,3.1525819763389094e-13,1811.0736227008717,7.556842253840886e-14,2.168406657195377e-11,1447.0166276178586,0.0027092040722615624,0.5565448567760994,-2.8421709430404007e-12,2.6020852139652106e-15,0.2717706448880568,False,0.0,True,3.74
traj_0001,4.04,60.098481352765056,0.022669830955420873,0.022669830955618114,1.9724124351790454e-13,1486.939592602788,4.2673961784633705e-14,1.1853899195556977e-11,1176.9948900259808,0.007084322173576908,0.45269034231768496,-1.4210854715202004e-12,1.734723475976807e-15,0.2577702669638281,False,0.0,True,4.04
traj_0003,13.21,43.77630713723027,0.04116801863249364,0.15787386216276772,0.11670584353027408,1501.959938341078,-0.06396985221841926,5.097361211960586,1640.6049017307057,0.0007421657237175604,0.6310018852810406,-0.35517264613247335,0.0015827360467582374,0.2392720792867553,False,0.0,True,13.21
traj_0005,14.56,53.71371211012015,0.0549155525516106,0.06313652434382688,0.008220971792216288,1226.0756264656984,0.04365824287366771,0.44157393815670504,848.3944634917054,0.025326130882815528,0.32630556288142515,-0.3163953112967022,0.00045587061373725257,0.22552454536763836,False,0.0,True,14.56
traj_0006,19.13,45.14990282944734,0.06738089822380361,0.06346576419796074,-0.003915134025842869,537.5352989301356,-0.001028378235030073,-0.17676746924021416,876.2554349719187,0.020870412770672322,0.33702132114304567,0.04277664366014733,-0.00010486468611098365,0.21305919969544534,False,,False,19.13
traj_0007,17.71,59.96821834408915,0.023794788500923324,-0.00888639124940219,-0.032681179750325515,1667.8820840071728,0.002106858127772796,-1.9594832720840214,1143.9380759534988,0.007855930557187361,0.439976183059038,0.29187998022948136,-0.0003650509844261435,0.25664530941832564,False,,False,17.71
traj_0008,0.56,66.7501261059098,0.011467491885099684,0.011467491884901428,-1.9825633707439e-13,1048.9036623375914,-1.938108990200424e-13,-1.3233635501011292e-11,1378.6604003743669,0.003583591214048422,0.5302540001439873,1.4210854715202004e-12,2.931682674400804e-14,0.2689726060341493,False,0.0,True,0.56
traj_0009,3.02,58.328302310109684,0.02630536289553556,0.026305362896415548,8.799875497319116e-13,1208.662332071363,2.5993750803633084e-13,5.132817982989562e-11,1129.4185050591532,0.008220425904903014,0.43439173271505893,-7.815970093361102e-12,9.367506770274758e-15,0.2541347350237134,False,0.0,True,3.02
traj_0010,2.06,62.71380321656975,0.15135602508108864,0.22003059441941786,0.06867456933832923,1846.3319460347495,0.7613256245147055,4.3034589057044155,1260.8235523541066,0.20528845285792682,0.4849321355208102,-2.1373649283894736,0.3687580413541114,0.1290840728381603,False,,False,2.06
traj_0011,1.8800000000000001,38.11743428245517,0.10858947367673873,0.1085894721316223,-1.5451164236216148e-09,1878.8465639451672,-1.0505253647109806e-05,-5.8895873736139066e-08,834.5225897990637,0.03390120080882005,0.32097022684579374,3.361456890615955e-07,-7.106847860205434e-06,0.17185062424251024,False,0.0,True,1.88
