lead_time_s,variable,n_near_crossing,n_safe,separability_auc,near_crossing_mean,near_crossing_std,safe_mean,safe_std
1,alpha,1450,243777,0.5483176583233998,0.06688098591586156,0.05884492514811095,0.05940466405550426,0.056790829169412006
1,dalpha_dt,1450,243654,0.5205752518480842,-0.02643608287959078,0.14828672493806536,-0.0017123318108741609,0.04163537643014797
1,V,1450,243777,0.5694709169615588,47.6829326777305,11.756359534809112,52.67175677861402,16.80292874771564
1,dV_dt,1450,243654,0.5205785450991414,-0.1441326902660304,0.9426339808404576,0.1373901671544118,1.4709402812426562
1,gamma,1450,243777,0.5204081797199334,0.016088574680497437,0.1015696741409196,-0.0201206180431022,0.16459088056371238
1,dq_dt,1450,243654,0.5828476063994646,-0.21379318313488957,0.8863023592796251,0.0015231347254636163,0.13740068812362427
1,elevator,1450,243777,0.5255841199128712,0.00468720969638349,0.0817443033323318,0.01782921144944709,0.027465743847094097
1,stall_margin,1450,243777,0.5483176583233998,0.21355911200338737,0.05884492514811095,0.22103543386374472,0.056790829169412006
2,alpha,1346,243777,0.5659858023971328,0.07064428065419516,0.05197987792918408,0.05940466405550426,0.056790829169412006
2,dalpha_dt,1345,243654,0.5539069342128548,-0.0027765925315860474,0.0612254678819834,-0.0017123318108741609,0.04163537643014797
2,V,1346,243777,0.5607816331737332,48.24791148218895,11.699648245028943,52.67175677861402,16.80292874771564
2,dV_dt,1345,243654,0.5454498049110594,-0.20673196254761345,1.0292664681043744,0.1373901671544118,1.4709402812426562
2,gamma,1346,243777,0.5356333036597811,0.022205074196760214,0.11560743737788967,-0.0201206180431022,0.16459088056371238
2,dq_dt,1345,243654,0.5689772958869734,0.003613011366002429,0.08443662707776962,0.0015231347254636163,0.13740068812362427
2,elevator,1346,243777,0.5739628316920659,0.021763466373096764,0.015711196807640715,0.01782921144944709,0.027465743847094097
2,stall_margin,1346,243777,0.5659858023971327,0.20979581726505384,0.05197987792918408,0.22103543386374472,0.056790829169412006
3,alpha,860,243777,0.5177322373640949,0.05784765025641501,0.037596272192221544,0.05940466405550426,0.056790829169412006
3,dalpha_dt,856,243654,0.5821595377051064,0.0013894623880661137,0.005344203293948238,-0.0017123318108741609,0.04163537643014797
3,V,860,243777,0.5154750085643465,50.26227005253712,10.357998791034696,52.67175677861402,16.80292874771564
3,dV_dt,856,243654,0.5871359524755841,-0.35029275050286357,1.2836780568210773,0.1373901671544118,1.4709402812426562
3,gamma,860,243777,0.5473553984860926,0.035063988176285414,0.14174470389434754,-0.0201206180431022,0.16459088056371238
3,dq_dt,856,243654,0.5890626974177955,-0.0021377202031405704,0.008223089161914877,0.0015231347254636163,0.13740068812362427
3,elevator,860,243777,0.533611938131409,0.018554594291766008,0.012980563466634594,0.01782921144944709,0.027465743847094097
3,stall_margin,860,243777,0.5177322373640949,0.22259244766283395,0.037596272192221544,0.22103543386374472,0.056790829169412006
4,alpha,601,243777,0.5094442271327364,0.0528811033530744,0.034159713581293244,0.05940466405550426,0.056790829169412006
4,dalpha_dt,599,243654,0.5927926849059737,0.0013384535222771283,0.004317370797034501,-0.0017123318108741609,0.04163537643014797
4,V,601,243777,0.5172188102930355,51.89775144599323,10.462047396088572,52.67175677861402,16.80292874771564
4,dV_dt,599,243654,0.5916339425074608,-0.45375218249706234,1.4336336117464994,0.1373901671544118,1.4709402812426562
4,gamma,601,243777,0.5610731342890047,0.04617521000391146,0.15352708351197394,-0.0201206180431022,0.16459088056371238
4,dq_dt,599,243654,0.5936860327665989,-0.00207416554164151,0.006678272267539566,0.0015231347254636163,0.13740068812362427
4,elevator,601,243777,0.5122666833808868,0.017720021889616057,0.013533242287073935,0.01782921144944709,0.027465743847094097
4,stall_margin,601,243777,0.5094442271327365,0.22755899456617457,0.034159713581293244,0.22103543386374472,0.056790829169412006
5,alpha,396,243777,0.5544680614088311,0.06119805784245664,0.03182964432162035,0.05940466405550426,0.056790829169412006
5,dalpha_dt,393,243654,0.5946339072022019,0.0014210545713427194,0.0036332408019814294,-0.0017123318108741609,0.04163537643014797
5,V,396,243777,0.530590323007163,49.476004311287014,8.472537314755035,52.67175677861402,16.80292874771564
5,dV_dt,393,243654,0.61226672511521,-0.6125485016120119,1.5378108391624818,0.1373901671544118,1.4709402812426562
5,gamma,396,243777,0.5783556355508385,0.06004454465612625,0.15804162665029936,-0.0201206180431022,0.16459088056371238
5,dq_dt,393,243654,0.5919741893622106,-0.0021767131504929526,0.005630806122549891,0.0015231347254636163,0.13740068812362427
5,elevator,396,243777,0.585322255731072,0.02147177277196242,0.01445729002213689,0.01782921144944709,0.027465743847094097
5,stall_margin,396,243777,0.554468061408831,0.2192420400767923,0.03182964432162035,0.22103543386374472,0.056790829169412006
