trajectory_id,regime,cross_sign,termination_reason,corrected_precursor_s,t_8_to_16_s,t_12_to_16_s,classification,max_alpha_deg,gamma_at_cross_deg,max_gamma_pre_cross_deg
traj_01611,gradual_approach_v3,1.0,completed_normally,,,0.7699999999999996,gradual_monotonic_low_gamma,24.59558854397943,7.054782032744159,7.054782032744159
traj_01619,gradual_approach_v3,1.0,completed_normally,3.039999999999999,3.0199999999999996,0.9699999999999989,gradual_monotonic_low_gamma,21.179575251188336,27.997753098973355,38.5361302682228
traj_01653,gradual_approach_v3,1.0,completed_normally,4.31,4.29,0.45000000000000107,gradual_monotonic_low_gamma,29.631806399332042,21.538095533306,25.475055149653684
traj_01659,gradual_approach_v3,1.0,completed_normally,,,0.6000000000000005,gradual_monotonic_low_gamma,29.358532112295904,3.0516073115921354,3.0516073115921354
traj_01680,gradual_approach_v3,1.0,completed_normally,,,1.0199999999999996,gradual_monotonic_low_gamma,24.190137063142174,6.270433859754421,6.270433859754421
traj_01684,gradual_approach_v3,1.0,completed_normally,1.4800000000000004,1.450000000000001,0.6100000000000012,gradual_monotonic_low_gamma,19.97236125562286,18.429044829118073,22.682969744899577
traj_01698,gradual_approach_v3,1.0,completed_normally,,,1.0199999999999996,gradual_monotonic_low_gamma,28.923467188217543,11.409718013245898,11.409718013245898
traj_01700,gradual_approach_v3,1.0,completed_normally,2.1099999999999994,2.08,1.0099999999999998,gradual_monotonic_low_gamma,16.542581716336056,15.702749331514257,20.768938394560948
traj_01720,gradual_approach_v3,1.0,completed_normally,1.620000000000001,1.5999999999999996,0.7799999999999994,gradual_monotonic_low_gamma,18.171130435241313,22.680221985083367,24.7599807489112
traj_01728,gradual_approach_v3,1.0,completed_normally,2.500000000000001,2.45,1.4699999999999998,gradual_monotonic_low_gamma,26.392824829945486,17.7646978715405,17.7646978715405
traj_01729,gradual_approach_v3,1.0,completed_normally,,,0.8600000000000003,gradual_monotonic_low_gamma,22.887715540702132,11.437183207892453,18.935488687781568
traj_01734,gradual_approach_v3,1.0,completed_normally,1.5199999999999996,1.4900000000000002,0.7199999999999989,gradual_monotonic_low_gamma,17.2770931681184,21.271847794072436,21.825905433698665
traj_01741,gradual_approach_v3,1.0,completed_normally,,,1.2600000000000002,gradual_monotonic_low_gamma,33.22225942456726,5.651794997237758,5.651794997237758
traj_01743,gradual_approach_v3,1.0,completed_normally,1.3399999999999999,1.3100000000000005,0.6700000000000008,gradual_monotonic_low_gamma,21.593986899879166,21.82533524793795,21.82533524793795
traj_01747,gradual_approach_v3,1.0,completed_normally,1.4000000000000004,1.3800000000000008,0.6000000000000005,gradual_monotonic_low_gamma,19.65085370874044,19.789225922792415,24.48203750590786
traj_01774,gradual_approach_v3,1.0,completed_normally,1.0999999999999996,1.08,0.45000000000000107,gradual_monotonic_low_gamma,21.299263530459413,27.618648724419227,34.61874377548593
traj_01790,gradual_approach_v3,1.0,completed_normally,5.0,4.98,0.7599999999999998,gradual_monotonic_low_gamma,22.241755993104388,15.24528903471244,20.055130079527657
traj_01795,gradual_approach_v3,1.0,completed_normally,1.3299999999999992,1.3099999999999996,0.629999999999999,gradual_monotonic_low_gamma,18.902222567337954,25.557960300956186,25.69452827633395
traj_01818,gradual_approach_v3,1.0,completed_normally,,,1.0300000000000002,gradual_monotonic_low_gamma,23.25120237571494,5.496579963663057,5.496579963663057
traj_01837,gradual_approach_v3,1.0,completed_normally,5.109999999999999,5.09,0.5700000000000003,gradual_monotonic_low_gamma,21.8417566856609,17.813439377152584,24.722395747059387
traj_01846,gradual_approach_v3,1.0,completed_normally,1.7100000000000009,1.6900000000000013,0.7000000000000011,gradual_monotonic_low_gamma,23.47312580600994,17.07445106161013,19.308772130285025
traj_01852,gradual_approach_v3,1.0,completed_normally,1.450000000000001,1.42,0.7099999999999991,gradual_monotonic_low_gamma,17.2550219036137,22.987221212149326,22.987221212149326
traj_01859,gradual_approach_v3,1.0,completed_normally,,,0.9500000000000002,gradual_monotonic_low_gamma,25.761421664357584,10.26140481312134,10.26140481312134
traj_01880,gradual_approach_v3,1.0,completed_normally,,,1.0,gradual_monotonic_low_gamma,24.78763662932567,11.180405316042943,11.180405316042943
traj_01881,gradual_approach_v3,1.0,completed_normally,4.07,4.050000000000001,0.5500000000000007,gradual_monotonic_low_gamma,27.98979060432618,22.008261829518815,22.885108755545065
traj_01888,gradual_approach_v3,1.0,completed_normally,,,0.7300000000000004,gradual_monotonic_low_gamma,23.250501660778188,6.5386200416836315,6.5386200416836315
traj_01889,gradual_approach_v3,1.0,completed_normally,1.0499999999999998,1.0200000000000005,0.5600000000000005,gradual_monotonic_low_gamma,18.435518435203374,36.255224858872644,36.255224858872644
traj_01898,gradual_approach_v3,1.0,completed_normally,,,0.8700000000000001,gradual_monotonic_low_gamma,27.183520401159157,10.332972493025393,10.332972493025393
traj_01899,gradual_approach_v3,1.0,completed_normally,4.760000000000001,4.750000000000001,0.4400000000000013,gradual_monotonic_low_gamma,25.102428740825722,23.08576703471971,29.0907855765896
traj_01909,gradual_approach_v3,1.0,completed_normally,,,0.8999999999999999,gradual_monotonic_low_gamma,27.301602231276696,7.713942717085828,7.713942717085828
traj_01923,gradual_approach_v3,1.0,completed_normally,4.8100000000000005,4.789999999999999,0.7199999999999998,gradual_monotonic_low_gamma,22.62924491024643,15.452755081407807,18.470871254038624
traj_01931,gradual_approach_v3,1.0,completed_normally,3.289999999999999,3.2699999999999996,1.0700000000000003,gradual_monotonic_low_gamma,17.25208892984123,24.097804290404454,35.434804774517
traj_01933,gradual_approach_v3,1.0,completed_normally,4.4399999999999995,4.42,0.6099999999999994,gradual_monotonic_low_gamma,20.929981362381454,18.14036791052696,18.590938858928848
traj_01934,gradual_approach_v3,1.0,completed_normally,4.989999999999999,4.96,0.9600000000000009,gradual_monotonic_low_gamma,17.20737180888365,15.790611743145968,15.889662229494643
traj_01945,gradual_approach_v3,1.0,completed_normally,1.1500000000000004,1.1300000000000008,0.5899999999999999,gradual_monotonic_low_gamma,17.35461629470012,30.106911047920054,30.106911047920054
traj_01949,gradual_approach_v3,1.0,completed_normally,1.3499999999999996,1.33,0.5700000000000003,gradual_monotonic_low_gamma,23.56090216753504,20.87319590936643,25.543094641726935
traj_01958,gradual_approach_v3,1.0,completed_normally,1.2200000000000006,1.1999999999999993,0.5499999999999989,gradual_monotonic_low_gamma,18.35753302079097,24.07974520997861,28.73404717363138
traj_01969,gradual_approach_v3,1.0,completed_normally,1.1600000000000001,1.1300000000000008,0.5999999999999996,gradual_monotonic_low_gamma,17.16865062850072,24.734518274424826,24.734518274424826
traj_01975,gradual_approach_v3,1.0,completed_normally,5.019999999999999,4.999999999999999,0.7299999999999986,gradual_monotonic_low_gamma,25.131487651201926,14.00906300582492,20.59964737458546
traj_01991,gradual_approach_v3,1.0,completed_normally,,,0.5800000000000001,gradual_monotonic_low_gamma,22.58441628834709,14.031207644115963,18.26802760062764
traj_01995,gradual_approach_v3,1.0,completed_normally,,,0.5700000000000003,gradual_monotonic_low_gamma,24.56100503678271,6.342897645439752,6.342897645439752
traj_02005,gradual_approach_v3,1.0,completed_normally,4.84,4.8100000000000005,0.8399999999999999,gradual_monotonic_low_gamma,16.93799008218825,16.610605537738977,18.994210914906795
traj_02008,gradual_approach_v3,1.0,completed_normally,3.5600000000000005,3.5299999999999994,1.120000000000001,gradual_monotonic_low_gamma,22.987496794500018,24.442308508827942,34.51738946174292
traj_02012,gradual_approach_v3,1.0,completed_normally,2.51,2.41,1.3200000000000003,gradual_monotonic_low_gamma,29.40353496063669,17.907237073947556,17.907237073947556
traj_02016,gradual_approach_v3,1.0,completed_normally,1.959999999999999,1.9000000000000004,1.040000000000001,gradual_monotonic_low_gamma,16.10704701365107,24.597455542278745,24.597455542278745
traj_02024,gradual_approach_v3,1.0,completed_normally,1.8999999999999986,1.8599999999999994,0.9700000000000006,runaway_extreme,16.33436943781425,0.3519334382668347,43.673556475991056
traj_02030,gradual_approach_v3,1.0,completed_normally,4.789999999999999,4.76,0.9100000000000001,gradual_monotonic_low_gamma,16.967477853076712,15.181508549721025,15.181508549721025
traj_02043,gradual_approach_v3,1.0,completed_normally,4.789999999999999,4.779999999999999,0.5099999999999998,gradual_monotonic_low_gamma,19.950683651323263,23.073053883730605,30.392960145582574
traj_02047,gradual_approach_v3,1.0,completed_normally,,,0.7399999999999993,gradual_monotonic_low_gamma,30.272495401952725,8.891565413377501,8.891565413377501
traj_02063,gradual_approach_v3,1.0,completed_normally,1.2200000000000006,1.1899999999999995,0.6199999999999992,gradual_monotonic_low_gamma,16.41159155336723,25.88945750583597,30.7378137067355
